"","c..AL627309.1....AL627309.5....LINC01409....LINC01128....LINC00115..."
"20469","ELMO2"
"20470","ZNF334"
"20471","SLC13A3"
"20472","TP53RK"
"20473","SLC2A10"
"20474","EYA2"
"20475","ZMYND8"
"20476","AL031666.2"
"20477","AL031666.3"
"20478","AL031666.1"
"20479","NCOA3"
"20480","SULF2"
"20481","AL354813.1"
"20482","AL139351.3"
"20483","AL121888.1"
"20484","LINC00494"
"20485","PREX1"
"20486","AL035106.1"
"20487","ARFGEF2"
"20488","CSE1L"
"20489","STAU1"
"20490","DDX27"
"20491","ZNFX1"
"20492","KCNB1"
"20493","PTGIS"
"20494","B4GALT5"
"20495","SLC9A8"
"20496","SPATA2"
"20497","RNF114"
"20498","UBE2V1"
"20499","TMEM189"
"20500","LINC01273"
"20501","CEBPB-AS1"
"20502","CEBPB"
"20503","LINC01270"
"20504","LINC01271"
"20505","PTPN1"
"20506","AL133230.1"
"20507","RIPOR3"
"20508","AL353653.1"
"20509","PARD6B"
"20510","BCAS4"
"20511","ADNP"
"20512","ADNP-AS1"
"20513","DPM1"
"20514","MOCS3"
"20515","NFATC2"
"20516","ATP9A"
"20517","SALL4"
"20518","LINC01429"
"20519","ZFP64"
"20520","AL109984.1"
"20521","LINC01524"
"20522","TSHZ2"
"20523","AL391097.3"
"20524","AL391097.1"
"20525","AL391097.2"
"20526","AL109930.1"
"20527","AL354993.2"
"20528","AL157838.1"
"20529","ZNF217"
"20530","BCAS1"
"20531","CYP24A1"
"20532","PFDN4"
"20533","DOK5"
"20534","LINC01440"
"20535","CBLN4"
"20536","FAM210B"
"20537","AURKA"
"20538","CSTF1"
"20539","RTF2"
"20540","GCNT7"
"20541","FAM209A"
"20542","TFAP2C"
"20543","BMP7"
"20544","AL122058.1"
"20545","RAE1"
"20546","AL109955.1"
"20547","RBM38"
"20548","PCK1"
"20549","ZBP1"
"20550","PMEPA1"
"20551","NKILA"
"20552","C20orf85"
"20553","RAB22A"
"20554","VAPB"
"20555","APCDD1L"
"20556","APCDD1L-DT"
"20557","STX16"
"20558","NPEPL1"
"20559","AL132655.2"
"20560","GNAS-AS1"
"20561","GNAS"
"20562","AL121917.1"
"20563","AL109840.2"
"20564","NELFCD"
"20565","CTSZ"
"20566","ATP5F1E"
"20567","PRELID3B"
"20568","ZNF831"
"20569","PHACTR3"
"20570","AL121908.1"
"20571","SYCP2"
"20572","FAM217B"
"20573","PPP1R3D"
"20574","CDH26"
"20575","MIR646HG"
"20576","CDH4"
"20577","TAF4"
"20578","AL137077.2"
"20579","LSM14B"
"20580","PSMA7"
"20581","SS18L1"
"20582","MTG2"
"20583","OSBPL2"
"20584","ADRM1"
"20585","AL354836.1"
"20586","LAMA5"
"20587","AL121832.2"
"20588","RPS21"
"20589","CABLES2"
"20590","AL121832.3"
"20591","RBBP8NL"
"20592","GATA5"
"20593","BX640514.2"
"20594","AL357033.1"
"20595","SLCO4A1"
"20596","AL357033.4"
"20597","SLCO4A1-AS1"
"20598","NTSR1"
"20599","LINC00659"
"20600","MRGBP"
"20601","OGFR-AS1"
"20602","OGFR"
"20603","TCFL5"
"20604","DIDO1"
"20605","AL117379.1"
"20606","GID8"
"20607","SLC17A9"
"20608","YTHDF1"
"20609","NKAIN4"
"20610","AL121827.2"
"20611","ARFGAP1"
"20612","CHRNA4"
"20613","KCNQ2"
"20614","EEF1A2"
"20615","PPDPF"
"20616","PTK6"
"20617","AL121829.2"
"20618","FNDC11"
"20619","HELZ2"
"20620","GMEB2"
"20621","MHENCR"
"20622","STMN3"
"20623","RTEL1"
"20624","TNFRSF6B"
"20625","ARFRP1"
"20626","ZGPAT"
"20627","AL121845.4"
"20628","LIME1"
"20629","SLC2A4RG"
"20630","ZBTB46"
"20631","AL121845.1"
"20632","ZBTB46-AS1"
"20633","AL118506.1"
"20634","TPD52L2"
"20635","DNAJC5"
"20636","UCKL1"
"20637","UCKL1-AS1"
"20638","ZNF512B"
"20639","SAMD10"
"20640","PRPF6"
"20641","C20orf204"
"20642","SOX18"
"20643","TCEA2"
"20644","PCMTD2"
"20645","LINC00266-1"
"20646","FP565260.3"
"20647","GATD3B"
"20648","FP565260.1"
"20649","FP565260.6"
"20650","CU633967.1"
"20651","SIK1B"
"20652","CU633906.2"
"20653","U2AF1L5"
"20654","CU638689.4"
"20655","CU638689.5"
"20656","CU634019.5"
"20657","FP236241.1"
"20658","SMIM11B"
"20659","FP671120.4"
"20660","FP236383.3"
"20661","CR381670.2"
"20662","CR381653.1"
"20663","TPTE"
"20664","AP001347.1"
"20665","LIPI"
"20666","RBM11"
"20667","HSPA13"
"20668","SAMSN1"
"20669","LINC02246"
"20670","NRIP1"
"20671","AF127577.2"
"20672","AJ009632.2"
"20673","USP25"
"20674","MIR99AHG"
"20675","AP001172.1"
"20676","AP000962.1"
"20677","CXADR"
"20678","BTG3"
"20679","BTG3-AS1"
"20680","C21orf91-OT1"
"20681","C21orf91"
"20682","AL109761.1"
"20683","CHODL-AS1"
"20684","CHODL"
"20685","AF130417.1"
"20686","TMPRSS15"
"20687","LINC01687"
"20688","AP000561.1"
"20689","LINC01684"
"20690","AP001341.1"
"20691","LINC00158"
"20692","MRPL39"
"20693","JAM2"
"20694","ATP5PF"
"20695","GABPA"
"20696","APP"
"20697","AP001442.1"
"20698","AP001439.1"
"20699","AP000229.1"
"20700","CYYR1-AS1"
"20701","CYYR1"
"20702","ADAMTS1"
"20703","AP001599.1"
"20704","ADAMTS5"
"20705","AP001605.1"
"20706","AP001604.1"
"20707","LINC00113"
"20708","AJ006995.1"
"20709","LINC01697"
"20710","LINC01695"
"20711","AF165147.1"
"20712","N6AMT1"
"20713","LTN1"
"20714","RWDD2B"
"20715","USP16"
"20716","CCT8"
"20717","AF129075.3"
"20718","MAP3K7CL"
"20719","BACH1"
"20720","BACH1-IT1"
"20721","AP000240.1"
"20722","BACH1-AS1"
"20723","BACH1-IT2"
"20724","GRIK1"
"20725","AP000238.1"
"20726","GRIK1-AS1"
"20727","CLDN8"
"20728","TIAM1"
"20729","SOD1"
"20730","AP000254.2"
"20731","SCAF4"
"20732","HUNK"
"20733","LINC00159"
"20734","MIS18A"
"20735","MIS18A-AS1"
"20736","MRAP"
"20737","URB1"
"20738","URB1-AS1"
"20739","EVA1C"
"20740","TCP10L"
"20741","CFAP298"
"20742","SYNJ1"
"20743","PAXBP1-AS1"
"20744","PAXBP1"
"20745","C21orf62-AS1"
"20746","C21orf62"
"20747","AP000281.2"
"20748","AP000282.1"
"20749","IFNAR2"
"20750","IL10RB-DT"
"20751","IL10RB"
"20752","IFNAR1"
"20753","IFNGR2"
"20754","TMEM50B"
"20755","DNAJC28"
"20756","GART"
"20757","SON"
"20758","DONSON"
"20759","CRYZL1"
"20760","ITSN1"
"20761","ATP5PO"
"20762","LINC00649"
"20763","MRPS6"
"20764","SLC5A3"
"20765","LINC00310"
"20766","AP000317.1"
"20767","AP000320.1"
"20768","KCNE2"
"20769","SMIM11A"
"20770","KCNE1"
"20771","RCAN1"
"20772","CLIC6"
"20773","LINC01426"
"20774","RUNX1"
"20775","AP000331.1"
"20776","SETD4"
"20777","AP000688.1"
"20778","CBR1"
"20779","AP000688.2"
"20780","CBR3-AS1"
"20781","CBR3"
"20782","DOP1B"
"20783","MORC3"
"20784","AP000692.1"
"20785","CHAF1B"
"20786","AP000695.1"
"20787","AP000695.2"
"20788","CLDN14"
"20789","AP000696.1"
"20790","AP000697.1"
"20791","SIM2"
"20792","HLCS"
"20793","AP000704.1"
"20794","RIPPLY3"
"20795","PIGP"
"20796","TTC3"
"20797","AP001429.1"
"20798","TTC3-AS1"
"20799","DSCR9"
"20800","AP001432.1"
"20801","VPS26C"
"20802","AP001412.1"
"20803","AP001437.2"
"20804","DYRK1A"
"20805","KCNJ6"
"20806","KCNJ15"
"20807","ERG"
"20808","AP001037.1"
"20809","ETS2"
"20810","AP001042.1"
"20811","AF064858.1"
"20812","PSMG1"
"20813","BRWD1"
"20814","AF129408.1"
"20815","BRWD1-AS1"
"20816","HMGN1"
"20817","GET1"
"20818","LCA5L"
"20819","SH3BGR"
"20820","B3GALT5"
"20821","B3GALT5-AS1"
"20822","AF064860.1"
"20823","AF064860.2"
"20824","IGSF5"
"20825","PCP4"
"20826","DSCAM"
"20827","LINC00323"
"20828","BACE2"
"20829","PLAC4"
"20830","FAM3B"
"20831","MX2"
"20832","MX1"
"20833","AP001610.2"
"20834","TMPRSS2"
"20835","RIPK4"
"20836","PRDM15"
"20837","C2CD2"
"20838","ZBTB21"
"20839","ZNF295-AS1"
"20840","ABCG1"
"20841","TFF3"
"20842","TFF1"
"20843","TMPRSS3"
"20844","UBASH3A"
"20845","RSPH1"
"20846","SLC37A1"
"20847","AP001625.2"
"20848","LINC01671"
"20849","AP001626.1"
"20850","PDE9A"
"20851","AP001627.1"
"20852","LINC01668"
"20853","AP001628.1"
"20854","WDR4"
"20855","NDUFV3"
"20856","ERVH48-1"
"20857","PKNOX1"
"20858","CBS"
"20859","U2AF1"
"20860","SIK1"
"20861","LINC00313"
"20862","HSF2BP"
"20863","RRP1B"
"20864","PDXK"
"20865","AP001053.1"
"20866","CSTB"
"20867","RRP1"
"20868","AATBC"
"20869","AGPAT3"
"20870","TRAPPC10"
"20871","LINC01678"
"20872","ICOSLG"
"20873","AP001059.3"
"20874","AP001059.2"
"20875","AP001059.1"
"20876","PFKL"
"20877","AP001062.3"
"20878","CFAP410"
"20879","AP001062.1"
"20880","TRPM2"
"20881","LRRC3"
"20882","TSPEAR"
"20883","UBE2G2"
"20884","LINC01424"
"20885","SUMO3"
"20886","PTTG1IP"
"20887","ITGB2-AS1"
"20888","LINC01547"
"20889","AL844908.1"
"20890","FAM207A"
"20891","AP001505.1"
"20892","ADARB1"
"20893","LINC00334"
"20894","POFUT2"
"20895","LINC00205"
"20896","BX322562.1"
"20897","COL18A1"
"20898","COL18A1-AS2"
"20899","COL18A1-AS1"
"20900","SLC19A1"
"20901","PCBP3"
"20902","AJ011931.2"
"20903","COL6A1"
"20904","COL6A2"
"20905","FTCD"
"20906","SPATC1L"
"20907","LSS"
"20908","AP001469.1"
"20909","MCM3AP-AS1"
"20910","MCM3AP"
"20911","AP001469.3"
"20912","YBEY"
"20913","C21orf58"
"20914","PCNT"
"20915","DIP2A"
"20916","DIP2A-IT1"
"20917","PRMT2"
"20918","AP000542.2"
"20919","DUXAP8"
"20920","AP000525.1"
"20921","AP000547.3"
"20922","AP000365.1"
"20923","ANKRD62P1-PARP4P3"
"20924","AC005301.2"
"20925","XKR3"
"20926","AC007064.2"
"20927","AC006946.2"
"20928","IL17RA"
"20929","HDHD5"
"20930","HDHD5-AS1"
"20931","ADA2"
"20932","CECR3"
"20933","CECR2"
"20934","AC007666.2"
"20935","SLC25A18"
"20936","ATP6V1E1"
"20937","BCL2L13"
"20938","BID"
"20939","LINC00528"
"20940","MICAL3"
"20941","AC016026.2"
"20942","AC016027.3"
"20943","AC016027.2"
"20944","PEX26"
"20945","TUBA8"
"20946","AC008079.1"
"20947","USP18"
"20948","TMEM191B"
"20949","DGCR6"
"20950","DGCR9"
"20951","DGCR2"
"20952","DGCR11"
"20953","ESS2"
"20954","LINC01311"
"20955","SLC25A1"
"20956","CLTCL1"
"20957","AC000085.1"
"20958","HIRA"
"20959","C22orf39"
"20960","MRPL40"
"20961","AC000068.1"
"20962","UFD1"
"20963","AC000068.3"
"20964","AC000068.2"
"20965","CDC45"
"20966","CLDN5"
"20967","GP1BB"
"20968","TBX1"
"20969","GNB1L"
"20970","RTL10"
"20971","TXNRD2"
"20972","COMT"
"20973","ARVCF"
"20974","TANGO2"
"20975","AC006547.1"
"20976","AC006547.3"
"20977","DGCR8"
"20978","TRMT2A"
"20979","RANBP1"
"20980","ZDHHC8"
"20981","CCDC188"
"20982","RTN4R"
"20983","DGCR6L"
"20984","AC007663.3"
"20985","ZNF74"
"20986","SCARF2"
"20987","KLHL22"
"20988","MED15"
"20989","AC007731.3"
"20990","PI4KA"
"20991","SERPIND1"
"20992","SNAP29"
"20993","CRKL"
"20994","LINC01637"
"20995","AIFM3"
"20996","LZTR1"
"20997","THAP7"
"20998","THAP7-AS1"
"20999","P2RX6"
"21000","LRRC74B"
"21001","AP000550.1"
"21002","GGT2"
"21003","HIC2"
"21004","TMEM191C"
"21005","UBE2L3"
"21006","YDJC"
"21007","SDF2L1"
"21008","AP000553.2"
"21009","PPIL2"
"21010","YPEL1"
"21011","MAPK1"
"21012","PPM1F"
"21013","AC245452.1"
"21014","TOP3B"
"21015","IGLV10-54"
"21016","AC245060.6"
"21017","AC245060.5"
"21018","ZNF280B"
"21019","PRAME"
"21020","GGTLC2"
"21021","IGLC1"
"21022","IGLC3"
"21023","RSPH14"
"21024","GNAZ"
"21025","RAB36"
"21026","BCR"
"21027","IGLL1"
"21028","AP000345.2"
"21029","DRICH1"
"21030","RGL4"
"21031","ZNF70"
"21032","CHCHD10"
"21033","MMP11"
"21034","SMARCB1"
"21035","SLC2A11"
"21036","AP000350.7"
"21037","MIF"
"21038","AP000350.6"
"21039","GSTT2B"
"21040","DDTL"
"21041","AC253536.6"
"21042","DDT"
"21043","CABIN1"
"21044","SUSD2"
"21045","GGT5"
"21046","SPECC1L"
"21047","ADORA2A"
"21048","ADORA2A-AS1"
"21049","UPB1"
"21050","GUCD1"
"21051","SNRPD3"
"21052","GGT1"
"21053","LRRC75B"
"21054","GGT1.1"
"21055","AP000356.2"
"21056","SGSM1"
"21057","TMEM211"
"21058","KIAA1671"
"21059","AL022323.3"
"21060","AL022323.2"
"21061","AL022323.4"
"21062","AL022323.1"
"21063","CRYBB3"
"21064","CRYBB2"
"21065","LRP5L"
"21066","AL008721.2"
"21067","GRK3"
"21068","MYO18B"
"21069","ASPHD2"
"21070","HPS4"
"21071","SRRD"
"21072","TFIP11"
"21073","Z95115.1"
"21074","TPST2"
"21075","MIATNB"
"21076","LINC01422"
"21077","LINC01638"
"21078","MN1"
"21079","PITPNB"
"21080","TTC28-AS1"
"21081","TTC28"
"21082","CHEK2"
"21083","HSCB"
"21084","CCDC117"
"21085","XBP1"
"21086","Z93930.2"
"21087","Z93930.3"
"21088","ZNRF3"
"21089","ZNRF3-IT1"
"21090","ZNRF3-AS1"
"21091","KREMEN1"
"21092","AL021393.1"
"21093","EMID1"
"21094","RHBDD3"
"21095","EWSR1"
"21096","GAS2L1"
"21097","RASL10A"
"21098","AC002059.1"
"21099","AP1B1"
"21100","RFPL1S"
"21101","THOC5"
"21102","NIPSNAP1"
"21103","NF2"
"21104","ZMAT5"
"21105","UQCR10"
"21106","ASCC2"
"21107","MTMR3"
"21108","AC003681.1"
"21109","HORMAD2-AS1"
"21110","HORMAD2"
"21111","AC002378.1"
"21112","LIF"
"21113","AC004264.1"
"21114","CASTOR1"
"21115","TBC1D10A"
"21116","SF3A1"
"21117","CCDC157"
"21118","RNF215"
"21119","SEC14L2"
"21120","MTFP1"
"21121","SEC14L4"
"21122","SEC14L6"
"21123","GAL3ST1"
"21124","PES1"
"21125","AC005006.1"
"21126","TCN2"
"21127","SLC35E4"
"21128","DUSP18"
"21129","OSBP2"
"21130","MORC2-AS1"
"21131","MORC2"
"21132","TUG1"
"21133","AC005005.4"
"21134","SMTN"
"21135","AC005005.3"
"21136","SELENOM"
"21137","INPP5J"
"21138","RNF185"
"21139","LIMK2"
"21140","PIK3IP1"
"21141","PIK3IP1-AS1"
"21142","PATZ1"
"21143","LINC01521"
"21144","DRG1"
"21145","EIF4ENIF1"
"21146","AL096701.3"
"21147","SFI1"
"21148","AL096701.4"
"21149","PISD"
"21150","PRR14L"
"21151","DEPDC5"
"21152","C22orf24"
"21153","YWHAH"
"21154","LINC02558"
"21155","SLC5A1"
"21156","RFPL2"
"21157","SLC5A4-AS1"
"21158","SLC5A4"
"21159","AL021937.3"
"21160","RFPL3S"
"21161","RTCB"
"21162","BPIFC"
"21163","FBXO7"
"21164","SYN3"
"21165","TIMP3"
"21166","LINC01640"
"21167","LARGE1"
"21168","LARGE-AS1"
"21169","Z73429.1"
"21170","LINC01643"
"21171","AL024495.1"
"21172","ISX"
"21173","HMGXB4"
"21174","TOM1"
"21175","HMOX1"
"21176","MCM5"
"21177","APOL6"
"21178","RBFOX2"
"21179","Z82217.1"
"21180","Z95114.4"
"21181","Z95114.1"
"21182","APOL3"
"21183","APOL4"
"21184","APOL2"
"21185","APOL1"
"21186","MYH9"
"21187","Z82215.1"
"21188","FO393418.1"
"21189","TXN2"
"21190","FOXRED2"
"21191","EIF3D"
"21192","CACNG2"
"21193","IFT27"
"21194","PVALB"
"21195","NCF4"
"21196","CSF2RB"
"21197","TST"
"21198","MPST"
"21199","KCTD17"
"21200","TMPRSS6"
"21201","IL2RB"
"21202","C1QTNF6"
"21203","CYTH4"
"21204","ELFN2"
"21205","MFNG"
"21206","CARD10"
"21207","CDC42EP1"
"21208","LGALS2"
"21209","GGA1"
"21210","SH3BP1"
"21211","Z83844.2"
"21212","PDXP"
"21213","NOL12"
"21214","TRIOBP"
"21215","H1F0"
"21216","GCAT"
"21217","ANKRD54"
"21218","EIF3L"
"21219","AL022311.1"
"21220","MICALL1"
"21221","C22orf23"
"21222","AL031587.3"
"21223","POLR2F"
"21224","SOX10"
"21225","PICK1"
"21226","AL031587.2"
"21227","SLC16A8"
"21228","BAIAP2L2"
"21229","AL022322.1"
"21230","PLA2G6"
"21231","AL022322.2"
"21232","MAFF"
"21233","TMEM184B"
"21234","AL020993.1"
"21235","CSNK1E"
"21236","Z98749.1"
"21237","Z97056.2"
"21238","Z97056.1"
"21239","KDELR3"
"21240","DDX17"
"21241","DMC1"
"21242","FAM227A"
"21243","CBY1"
"21244","AL021707.4"
"21245","AL021707.2"
"21246","AL021707.9"
"21247","TOMM22"
"21248","JOSD1"
"21249","GTPBP1"
"21250","SUN2"
"21251","AL021707.8"
"21252","AL021707.1"
"21253","AL021707.6"
"21254","AL021707.7"
"21255","DNAL4"
"21256","NPTXR"
"21257","CBX6"
"21258","AL022318.5"
"21259","APOBEC3A"
"21260","APOBEC3C"
"21261","APOBEC3D"
"21262","APOBEC3F"
"21263","APOBEC3H"
"21264","CBX7"
"21265","AL031846.2"
"21266","PDGFB"
"21267","AL031590.1"
"21268","RPL3"
"21269","SYNGR1"
"21270","TAB1"
"21271","MGAT3"
"21272","MIEF1"
"21273","ATF4"
"21274","RPS19BP1"
"21275","CACNA1I"
"21276","ENTHD1"
"21277","GRAP2"
"21278","FAM83F"
"21279","TNRC6B"
"21280","ADSL"
"21281","SGSM3"
"21282","AL022238.2"
"21283","MRTFA"
"21284","MRTFA-AS1"
"21285","SLC25A17"
"21286","ST13"
"21287","XPNPEP3"
"21288","DNAJB7"
"21289","RBX1"
"21290","EP300"
"21291","AL035658.1"
"21292","EP300-AS1"
"21293","L3MBTL2"
"21294","AL035681.1"
"21295","CHADL"
"21296","RANGAP1"
"21297","ZC3H7B"
"21298","TEF"
"21299","AL008582.1"
"21300","TOB2"
"21301","PHF5A"
"21302","ACO2"
"21303","POLR3H"
"21304","CSDC2"
"21305","PMM1"
"21306","DESI1"
"21307","XRCC6"
"21308","SNU13"
"21309","MEI1"
"21310","CCDC134"
"21311","SREBF2-AS1"
"21312","SREBF2"
"21313","SHISA8"
"21314","SEPTIN3"
"21315","WBP2NL"
"21316","NAGA"
"21317","PHETA2"
"21318","SMDT1"
"21319","NDUFA6"
"21320","NDUFA6-DT"
"21321","CYP2D6"
"21322","AC254562.3"
"21323","TCF20"
"21324","OGFRP1"
"21325","LINC01315"
"21326","NFAM1"
"21327","AL022316.1"
"21328","RRP7A"
"21329","SERHL2"
"21330","POLDIP3"
"21331","Z93241.1"
"21332","CYB5R3"
"21333","ATP5MGL"
"21334","A4GALT"
"21335","ARFGAP3"
"21336","PACSIN2"
"21337","AL022476.1"
"21338","TTLL1"
"21339","BIK"
"21340","MCAT"
"21341","TSPO"
"21342","TTLL12"
"21343","SCUBE1"
"21344","Z82214.2"
"21345","EFCAB6-AS1"
"21346","EFCAB6"
"21347","Z97055.2"
"21348","SULT4A1"
"21349","PNPLA3"
"21350","SAMM50"
"21351","PARVB"
"21352","AL033543.1"
"21353","AL031595.3"
"21354","SHISAL1"
"21355","RTL6"
"21356","PRR5"
"21357","ARHGAP8"
"21358","PHF21B"
"21359","NUP50-DT"
"21360","NUP50"
"21361","KIAA0930"
"21362","FAM118A"
"21363","SMC1B"
"21364","RIBC2"
"21365","FBLN1"
"21366","Z95331.1"
"21367","ATXN10"
"21368","BX324167.1"
"21369","WNT7B"
"21370","LINC00899"
"21371","PRR34"
"21372","PRR34-AS1"
"21373","MIRLET7BHG"
"21374","AL121672.1"
"21375","AL121672.2"
"21376","PPARA"
"21377","FP325332.1"
"21378","CDPF1"
"21379","TTC38"
"21380","TRMU"
"21381","CELSR1"
"21382","AL021392.1"
"21383","GRAMD4"
"21384","CERK"
"21385","TBC1D22A"
"21386","LINC01644"
"21387","AL117329.1"
"21388","TAFA5"
"21389","C22orf34"
"21390","BRD1"
"21391","Z98885.3"
"21392","ZBED4"
"21393","ALG12"
"21394","AL671710.1"
"21395","CRELD2"
"21396","PIM3"
"21397","MOV10L1"
"21398","PANX2"
"21399","TRABD"
"21400","AL022328.3"
"21401","AL022328.4"
"21402","SELENOO"
"21403","AL022328.1"
"21404","AL022328.2"
"21405","TUBGCP6"
"21406","HDAC10"
"21407","MAPK12"
"21408","MAPK11"
"21409","PLXNB2"
"21410","DENND6B"
"21411","PPP6R2"
"21412","SBF1"
"21413","ADM2"
"21414","MIOX"
"21415","LMF2"
"21416","NCAPH2"
"21417","SCO2"
"21418","TYMP"
"21419","ODF3B"
"21420","U62317.1"
"21421","KLHDC7B"
"21422","SYCE3"
"21423","CPT1B"
"21424","CHKB"
"21425","CHKB-DT"
"21426","MAPK8IP2"
"21427","ARSA"
"21428","SHANK3"
"21429","ACR"
"21430","RABL2B"
"21431","PLCXD1"
"21432","GTPBP6"
"21433","LINC00685"
"21434","PPP2R3B"
"21435","AL732314.6"
"21436","AL732314.4"
"21437","AL672277.1"
"21438","CRLF2"
"21439","CSF2RA"
"21440","IL3RA"
"21441","SLC25A6"
"21442","LINC00106"
"21443","ASMTL-AS1"
"21444","ASMTL"
"21445","P2RY8"
"21446","AKAP17A"
"21447","ASMT"
"21448","AL683807.1"
"21449","DHRSX"
"21450","DHRSX-IT1"
"21451","ZBED1"
"21452","CD99"
"21453","XG"
"21454","GYG2"
"21455","ARSD"
"21456","ARSE"
"21457","MXRA5"
"21458","PRKX"
"21459","PRKX-AS1"
"21460","BX890604.2"
"21461","BX842570.1"
"21462","NLGN4X"
"21463","VCX3A"
"21464","PUDP"
"21465","STS"
"21466","PNPLA4"
"21467","AC079142.1"
"21468","ANOS1"
"21469","FAM9B"
"21470","TBL1X"
"21471","GPR143"
"21472","SHROOM2"
"21473","WWC3"
"21474","WWC3-AS1"
"21475","CLCN4"
"21476","AC003666.1"
"21477","MID1"
"21478","AC073529.1"
"21479","ARHGAP6"
"21480","AC004554.2"
"21481","MSL3"
"21482","FRMPD4"
"21483","PRPS2"
"21484","EGFL6"
"21485","TCEANC"
"21486","RAB9A"
"21487","TRAPPC2"
"21488","OFD1"
"21489","GPM6B"
"21490","AC003035.1"
"21491","GEMIN8"
"21492","FANCB"
"21493","MOSPD2"
"21494","ASB9"
"21495","PIGA"
"21496","VEGFD"
"21497","PIR"
"21498","BMX"
"21499","ACE2"
"21500","AC097625.1"
"21501","CLTRN"
"21502","CA5B"
"21503","ZRSR2"
"21504","AP1S2"
"21505","CTPS2"
"21506","SYAP1"
"21507","TXLNG"
"21508","RBBP7"
"21509","REPS2"
"21510","NHS"
"21511","Z93022.1"
"21512","NHS-AS1"
"21513","SCML1"
"21514","RAI2"
"21515","LINC01456"
"21516","SCML2"
"21517","CDKL5"
"21518","PPEF1"
"21519","PHKA2-AS1"
"21520","PHKA2"
"21521","AL732509.1"
"21522","ADGRG2"
"21523","PDHA1"
"21524","MAP3K15"
"21525","SH3KBP1"
"21526","BCLAF3"
"21527","MAP7D2"
"21528","EIF1AX"
"21529","RPS6KA3"
"21530","CNKSR2"
"21531","MBTPS2"
"21532","YY2"
"21533","SMS"
"21534","PHEX"
"21535","PTCHD1-AS"
"21536","AC092832.2"
"21537","AC004470.1"
"21538","PTCHD1"
"21539","PRDX4"
"21540","ACOT9"
"21541","AC131011.1"
"21542","SAT1"
"21543","APOO"
"21544","CXorf58"
"21545","KLHL15"
"21546","EIF2S3"
"21547","ZFX-AS1"
"21548","ZFX"
"21549","PDK3"
"21550","PCYT1B"
"21551","POLA1"
"21552","AC112493.1"
"21553","AC107419.1"
"21554","DCAF8L2"
"21555","IL1RAPL1"
"21556","AC003659.1"
"21557","CXorf21"
"21558","GK"
"21559","AC112496.1"
"21560","GK-AS1"
"21561","TAB3"
"21562","TAB3-AS2"
"21563","DMD"
"21564","AL591501.1"
"21565","TMEM47"
"21566","CFAP47"
"21567","AL606516.1"
"21568","AL592156.2"
"21569","PRRG1"
"21570","LANCL3"
"21571","XK"
"21572","DYNLT3"
"21573","AL121578.3"
"21574","SYTL5"
"21575","SRPX"
"21576","RPGR"
"21577","TSPAN7"
"21578","AF241728.2"
"21579","MID1IP1"
"21580","AC108879.1"
"21581","BCOR"
"21582","ATP6AP2"
"21583","CXorf38"
"21584","MED14"
"21585","AC092268.2"
"21586","USP9X"
"21587","DDX3X"
"21588","CASK"
"21589","GPR82"
"21590","Z93403.1"
"21591","MAOA"
"21592","MAOB"
"21593","EFHC2"
"21594","FUNDC1"
"21595","KDM6A"
"21596","DIPK2B"
"21597","MIR222HG"
"21598","AC234772.2"
"21599","LINC02595"
"21600","LINC01186"
"21601","KRBOX4"
"21602","ZNF674"
"21603","ZNF674-AS1"
"21604","CHST7"
"21605","SLC9A7"
"21606","RP2"
"21607","LINC01545"
"21608","JADE3"
"21609","RGN"
"21610","RBM10"
"21611","UBA1"
"21612","INE1"
"21613","CDK16"
"21614","USP11"
"21615","ZNF157"
"21616","ZNF41"
"21617","LINC01560"
"21618","ARAF"
"21619","SYN1"
"21620","TIMP1"
"21621","CFP"
"21622","ELK1"
"21623","UXT"
"21624","UXT-AS1"
"21625","ZNF81"
"21626","ZNF182"
"21627","ZNF630"
"21628","SPACA5"
"21629","ZNF630-AS1"
"21630","AC244636.3"
"21631","SLC38A5"
"21632","FTSJ1"
"21633","AF196972.1"
"21634","PORCN"
"21635","EBP"
"21636","TBC1D25"
"21637","AC115618.1"
"21638","RBM3"
"21639","WDR13"
"21640","SUV39H1"
"21641","AC231533.1"
"21642","GLOD5"
"21643","GATA1"
"21644","HDAC6"
"21645","ERAS"
"21646","PCSK1N"
"21647","PQBP1"
"21648","TIMM17B"
"21649","SLC35A2"
"21650","PIM2"
"21651","OTUD5"
"21652","KCND1"
"21653","GRIPAP1"
"21654","TFE3"
"21655","CCDC120"
"21656","PRAF2"
"21657","WDR45"
"21658","GPKOW"
"21659","MAGIX"
"21660","PLP2"
"21661","PRICKLE3"
"21662","SYP"
"21663","CACNA1F"
"21664","CCDC22"
"21665","FOXP3"
"21666","PPP1R3F"
"21667","AC232271.1"
"21668","AC232271.2"
"21669","USP27X"
"21670","CLCN5"
"21671","CCNB3"
"21672","SHROOM4"
"21673","LINC01284"
"21674","AC233976.1"
"21675","AC233976.2"
"21676","NUDT10"
"21677","AL158055.1"
"21678","EZHIP"
"21679","GSPT2"
"21680","MAGED1"
"21681","AC231759.2"
"21682","FAM156A"
"21683","GPR173"
"21684","TSPYL2"
"21685","KANTR"
"21686","KDM5C"
"21687","KDM5C-IT1"
"21688","IQSEC2"
"21689","SMC1A"
"21690","RIBC1"
"21691","HSD17B10"
"21692","HUWE1"
"21693","PHF8"
"21694","FAM120C"
