Index,Data_Type,Cluster_Label,Silhouette_Score
TSPAN32,Train,0,0.9476256351827336
PIGC,Train,0,0.9055606907845335
MTMR3,Train,0,0.21209421559776367
LINC01284,Train,0,0.9472493797973245
C11orf97,Train,0,0.9463975106920118
SMIM27,Train,0,0.9481386956548625
STK39,Train,1,0.0734414215788056
SNHG6,Train,0,0.9391409057198042
CHST15,Train,0,0.8982746494630531
AC134349.1,Train,0,0.9464097814588875
PRIM1,Train,0,0.9480309730954957
FUT11,Train,0,0.9390347001285753
DENND3,Train,0,0.8822885203809806
AL160408.3,Train,0,0.9477532654108681
SCNM1,Train,0,0.947997230580614
CDC25B,Train,0,0.9428358582007061
CHAF1A,Train,0,0.946705709180165
GCLC,Train,0,0.9085741123170594
LINC00504,Train,0,0.9335723450442659
PRKAR1B,Train,0,0.851907309090165
AC010547.2,Train,0,0.9465130367147805
CARNMT1,Train,0,0.8684892117851172
DSCAM,Train,0,0.9469881518505157
CDC20,Train,0,0.9468562324684399
GFM2,Train,0,0.9181145308584321
AL035461.2,Train,0,0.947550736449177
AL391095.1,Train,0,0.9477732306405254
LLGL1,Train,0,0.9477767316017475
PUM2,Train,1,0.475421151256413
PSMD6,Train,0,0.9430490802566316
LINC01980,Train,0,0.9471879556262611
AC131025.3,Train,0,0.9471305000299662
LINC02200,Train,0,0.9465148839145054
TMEM70,Train,0,0.9480921518673024
AC069277.1,Train,0,0.9139387450073512
HOXA10,Train,0,0.9445253816018797
RAB1A,Train,1,0.16650337197175125
AC022144.1,Train,0,0.9428661860655119
CLEC11A,Train,0,0.9474387635324972
INTS3,Train,0,0.8386355011424763
AC141424.1,Train,0,0.9468186770006565
SLCO3A1,Train,1,0.011841447158750332
AC079385.2,Train,0,0.9464207494612378
MTX3,Train,0,0.9343323425814507
HIST1H3C,Train,0,0.9464646031707473
AC073288.1,Train,0,0.9463729108675752
ZNF280B,Train,0,0.9476673643044171
FANCB,Train,0,0.9481355076658374
AC024560.3,Train,0,0.9463951468088486
NAV2-AS4,Train,0,0.9465530465880876
AC079753.2,Train,0,0.9466638659286006
ADGB,Train,0,0.9481767837301838
NLGN1-AS1,Train,0,0.9470815743336484
STOM,Train,0,0.857180911084849
AC244035.1,Train,0,0.9478752897715219
SENP1,Train,0,0.8926180220388289
AC080038.2,Train,0,0.9465366556488756
IGHEP2,Train,0,0.9464296258010625
AC011595.2,Train,0,0.9467001751598203
ANTKMT,Train,0,0.9474373412141419
SLC16A8,Train,0,0.9479539980290853
AL034347.1,Train,0,0.9471713773094927
MAPKAPK5,Train,0,0.8729127990786812
LHX1-DT,Train,0,0.8966916423793047
AC104841.1,Train,0,0.9463511272075014
AC126696.1,Train,0,0.9468036696268785
GVQW2,Train,0,0.9480211671034503
LINC00449,Train,0,0.9466514224346512
AC005899.1,Train,0,0.9478980976136733
LDB2,Train,1,0.37534708204416567
AC106864.1,Train,0,0.9463844700135635
RSRP1,Train,0,0.4596926615229992
MARCKSL1,Train,0,0.94760370361493
COL12A1,Train,0,0.499910469392333
MCHR2-AS1,Train,0,0.9467134265862808
ANKZF1,Train,0,0.909632041412826
AC120349.1,Train,0,0.9466758644590858
PPP5D1,Train,0,0.9409679991046473
AL121772.1,Train,0,0.9469481020641548
AC022325.2,Train,0,0.9481410394493837
AC067945.3,Train,0,0.9464446069286129
AC006299.1,Train,0,0.9216265162020495
AP000873.2,Train,0,0.9140859076316967
KLHL5,Train,0,0.6793317454259846
AP003469.2,Train,0,0.9466791129023305
AL049629.1,Train,0,0.9463683467724398
AC079834.2,Train,0,0.9466317824782678
KCNT2,Train,1,0.2330870735966699
PIN4,Train,0,0.9002962913155131
